Time,Source,Destination,Delay_ms,Packet_Loss,Trust_Score,Failure_Type,Throughput_kbps,Signal_Strength,Bandwidth_kbps,Delivered,Label,EventID
0.0,R11,R02,18.126,0.13093,0.96,None,491.162,0.4781,1050.526,1,0,0
0.1,R01,R05,8.368,0.00554,0.96,None,375.498,0.4468,1047.518,1,0,1
0.2,R04,R12,5.418,0.01562,0.96,None,454.821,0.8715,1029.886,1,0,2
0.3,R03,R02,7.881,0.07284,0.96,None,455.99,0.4323,1047.372,1,0,3
0.4,R11,R09,7.528,0.0015,0.968,None,470.822,0.4747,1019.467,1,0,4
0.5,R02,R10,14.398,0.05524,0.96,None,515.27,0.4316,949.546,1,0,5
0.6,R07,R01,3.433,0.03076,0.96,None,444.776,0.4356,1029.106,1,0,6
0.7,R01,R02,24.784,0.13312,0.968,None,455.061,0.8423,924.592,1,0,7
0.8,R04,R12,29.362,0.00052,0.968,None,444.072,0.9241,948.109,1,0,8
0.9,R09,R10,11.466,0.06505,0.96,None,493.527,0.4642,980.068,1,0,9
1.0,R01,R09,11.604,0.00521,0.9744,None,521.7,0.4931,973.279,1,0,10
1.1,R04,R11,3.684,0.14838,0.9744,None,462.925,0.4947,1025.072,1,0,11
1.2,R12,R09,30.77,0.14346,0.96,None,487.022,0.4489,987.168,1,0,12
1.3,R07,R04,9.077,0.1597,0.968,None,493.821,0.7413,1022.647,1,0,13
1.4,R08,R10,10.667,0.03464,0.96,None,536.158,0.7259,999.072,1,0,14
1.5,R05,R01,3.194,0.01817,0.96,None,462.696,0.4289,1023.888,1,0,15
1.6,R03,R07,9.902,0.01044,0.968,None,479.705,0.4754,961.233,1,0,16
1.7,R06,R05,22.613,0.07152,0.96,None,535.693,0.519,975.328,1,0,17
1.8,R03,R04,25.496,0.00368,0.9744,None,514.944,0.4634,1032.454,1,0,18
1.9,R06,R02,4.58,0.00493,0.968,None,473.563,0.4506,982.163,1,0,19
2.0,R02,R07,19.009,0.05481,0.968,None,581.567,0.432,927.998,1,0,20
2.1,R02,R06,31.582,0.0195,0.9744,None,528.683,0.4371,1011.314,1,0,21
2.2,R06,R10,23.997,2e-05,0.9744,None,431.326,0.4739,1036.725,1,0,22
2.3,R05,R01,5.677,0.00854,0.968,None,530.736,0.4743,956.618,1,0,23
2.4,R12,R08,13.69,0.0194,0.968,None,470.416,0.4846,1136.721,1,0,24
2.5,R09,R02,13.131,0.11708,0.968,None,474.509,0.4955,993.793,1,0,25
2.6,R07,R02,22.027,0.47781,0.9744,None,511.082,0.4888,953.698,1,0,26
2.7,R09,R05,8.082,0.04846,0.9744,None,550.517,0.4711,1052.871,1,0,27
2.8,R11,R10,12.693,0.1921,0.9744,None,535.28,0.678,1015.222,1,0,28
2.9,R06,R10,14.966,0.18192,0.97952,None,480.292,0.4776,1011.615,1,0,29
3.0,R04,R02,14.026,0.0222,0.97952,None,445.763,0.4599,910.575,1,0,30
3.1,R01,R11,16.213,0.00047,0.97952,None,466.607,0.4827,1027.479,1,0,31
3.2,R04,R05,4.407,0.00061,0.98362,None,553.737,0.4795,1000.757,1,0,32
3.3,R02,R04,17.351,0.02692,0.97952,None,413.235,0.4269,961.409,1,0,33
3.4,R02,R07,46.018,0.00554,0.98362,None,415.511,0.4745,1018.865,1,0,34
3.5,R05,R08,45.654,0.10746,0.9744,None,428.803,0.4261,988.13,1,0,35
3.6,R11,R06,54.468,0.00399,0.97952,None,475.795,0.4549,1077.153,1,0,36
3.7,R03,R06,35.114,0.00043,0.97952,None,573.92,0.4744,989.877,1,0,37
3.8,R06,R04,12.791,0.17615,0.98362,None,531.222,0.4594,1034.342,1,0,38
3.9,R11,R05,12.894,0.0388,0.98362,None,488.304,0.4884,968.888,1,0,39
4.0,R12,R11,9.167,0.09289,0.9744,None,503.253,0.8218,1027.587,1,0,40
4.1,R11,R02,6.903,0.34938,0.98689,None,431.177,0.4506,1077.643,1,0,41
4.2,R10,R11,8.571,0.13498,0.96,None,517.237,0.6268,988.039,1,0,42
4.3,R03,R09,24.123,3e-05,0.98362,None,455.476,0.4963,1095.616,1,0,43
4.4,R12,R04,28.565,0.02519,0.97952,None,432.134,0.9106,965.043,1,0,44
4.5,R03,R08,12.097,0.07033,0.98689,None,512.153,0.4357,1030.692,1,0,45
4.6,R07,R05,36.1,0.00269,0.97952,None,488.153,0.478,1057.718,1,0,46
